"Sensor_Name","Date","sum(Hourly_Counts)"
"Flagstaff Station",2010-06-20,705
"Flagstaff Station",2010-06-21,24559
"Flagstaff Station",2010-06-22,25058
"Flagstaff Station",2010-06-23,24350
"Flagstaff Station",2010-06-24,24474
"Flagstaff Station",2010-06-25,25745
"Flagstaff Station",2010-06-26,813
"Flagstaff Station",2010-06-27,665
"Flagstaff Station",2010-06-28,23307
"Flagstaff Station",2010-06-29,23361
"Flagstaff Station",2010-06-30,23227
"Flagstaff Station",2010-07-01,23107
"Flagstaff Station",2010-07-02,21490
"Flagstaff Station",2010-07-03,909
"Flagstaff Station",2010-07-04,737
"Flagstaff Station",2010-07-05,22755
"Flagstaff Station",2010-07-06,23204
"Flagstaff Station",2010-07-07,22423
"Flagstaff Station",2010-07-08,22370
"Flagstaff Station",2010-07-09,21328
"Flagstaff Station",2010-07-10,1660
"Flagstaff Station",2010-07-11,1386
"Flagstaff Station",2010-07-12,23672
"Flagstaff Station",2010-07-13,24870
"Flagstaff Station",2010-07-14,24970
"Flagstaff Station",2010-07-15,24276
"Flagstaff Station",2010-07-16,22475
"Flagstaff Station",2010-07-17,997
"Flagstaff Station",2010-07-18,682
"Flagstaff Station",2010-07-19,24107
"Flagstaff Station",2010-07-20,25233
"Flagstaff Station",2010-07-21,25037
"Flagstaff Station",2010-07-22,24592
"Flagstaff Station",2010-07-23,22910
"Flagstaff Station",2010-07-24,1136
"Flagstaff Station",2010-07-25,951
"Flagstaff Station",2010-07-26,24778
"Flagstaff Station",2010-07-27,21353
"Flagstaff Station",2010-07-28,26522
"Flagstaff Station",2010-07-29,24335
"Flagstaff Station",2010-07-30,23956
"Flagstaff Station",2010-07-31,1356
"Flagstaff Station",2010-08-01,835
"Flagstaff Station",2010-08-02,25401
"Flagstaff Station",2010-08-03,25497
"Flagstaff Station",2010-08-04,26452
"Flagstaff Station",2010-08-05,24656
"Flagstaff Station",2010-08-06,23860
"Flagstaff Station",2010-08-07,1073
"Flagstaff Station",2010-08-08,946
"Flagstaff Station",2010-08-09,24478
"Flagstaff Station",2010-08-10,27439
"Flagstaff Station",2010-08-11,26347
"Flagstaff Station",2010-08-12,24758
"Flagstaff Station",2010-08-13,23023
"Flagstaff Station",2010-08-14,1079
"Flagstaff Station",2010-08-15,842
"Flagstaff Station",2010-08-16,24986
"Flagstaff Station",2010-08-17,25349
"Flagstaff Station",2010-08-18,24374
"Flagstaff Station",2010-08-19,25392
"Flagstaff Station",2010-08-20,23420
"Flagstaff Station",2010-08-21,932
"Flagstaff Station",2010-08-22,720
"Flagstaff Station",2010-08-23,24797
"Flagstaff Station",2010-08-24,26400
"Flagstaff Station",2010-08-25,24505
"Flagstaff Station",2010-08-26,24937
"Flagstaff Station",2010-08-27,22893
"Flagstaff Station",2010-08-28,1056
"Flagstaff Station",2010-08-29,760
"Flagstaff Station",2010-08-30,24521
"Flagstaff Station",2010-08-31,24807
"Flagstaff Station",2010-09-01,27490
"Flagstaff Station",2010-09-02,26019
"Flagstaff Station",2010-09-03,23346
"Flagstaff Station",2010-09-04,927
"Flagstaff Station",2010-09-05,678
"Flagstaff Station",2010-09-06,25022
"Flagstaff Station",2010-09-07,24738
"Flagstaff Station",2010-09-08,24836
"Flagstaff Station",2010-09-09,24885
"Flagstaff Station",2010-09-10,22653
"Flagstaff Station",2010-09-11,930
"Flagstaff Station",2010-09-12,791
"Flagstaff Station",2010-09-13,24412
"Flagstaff Station",2010-09-14,25426
"Flagstaff Station",2010-09-15,24504
"Flagstaff Station",2010-09-16,24774
"Flagstaff Station",2010-09-17,22730
"Flagstaff Station",2010-09-18,1006
"Flagstaff Station",2010-09-19,828
"Flagstaff Station",2010-09-20,23295
"Flagstaff Station",2010-09-21,24264
"Flagstaff Station",2010-09-22,23128
"Flagstaff Station",2010-09-23,23615
"Flagstaff Station",2010-09-24,22172
"Flagstaff Station",2010-09-25,931
"Flagstaff Station",2010-09-26,834
"Flagstaff Station",2010-09-27,22887
"Flagstaff Station",2010-09-28,23356
"Flagstaff Station",2010-09-29,23708
"Flagstaff Station",2010-09-30,23115
"Flagstaff Station",2010-10-01,22467
"Flagstaff Station",2010-10-02,1131
"Flagstaff Station",2010-10-03,896
"Flagstaff Station",2010-10-04,24506
"Flagstaff Station",2010-10-05,24999
"Flagstaff Station",2010-10-06,25248
"Flagstaff Station",2010-10-07,25226
"Flagstaff Station",2010-10-08,24120
"Flagstaff Station",2010-10-09,1098
"Flagstaff Station",2010-10-10,793
"Flagstaff Station",2010-10-11,25805
"Flagstaff Station",2010-10-12,27554
"Flagstaff Station",2010-10-13,26392
"Flagstaff Station",2010-10-14,25581
"Flagstaff Station",2010-10-15,29066
"Flagstaff Station",2010-10-16,1072
"Flagstaff Station",2010-10-17,729
"Flagstaff Station",2010-10-18,25146
"Flagstaff Station",2010-10-19,25839
"Flagstaff Station",2010-10-20,25049
"Flagstaff Station",2010-10-21,26044
"Flagstaff Station",2010-10-22,23835
"Flagstaff Station",2010-10-23,1076
"Flagstaff Station",2010-10-24,1054
"Flagstaff Station",2010-10-25,25625
"Flagstaff Station",2010-10-26,26846
"Flagstaff Station",2010-10-27,25165
"Flagstaff Station",2010-10-28,25647
"Flagstaff Station",2010-10-29,23645
"Flagstaff Station",2010-10-30,1050
"Flagstaff Station",2010-10-31,776
"Flagstaff Station",2010-11-01,18092
"Flagstaff Station",2010-11-02,905
"Flagstaff Station",2010-11-03,24723
"Flagstaff Station",2010-11-04,24154
"Flagstaff Station",2010-11-05,23536
"Flagstaff Station",2010-11-06,1094
"Flagstaff Station",2010-11-07,806
"Flagstaff Station",2010-11-08,25771
"Flagstaff Station",2010-11-09,24422
"Flagstaff Station",2010-11-10,25010
"Flagstaff Station",2010-11-11,25305
"Flagstaff Station",2010-11-12,22928
"Flagstaff Station",2010-11-13,900
"Flagstaff Station",2010-11-14,792
"Flagstaff Station",2010-11-15,25516
"Flagstaff Station",2010-11-16,26130
"Flagstaff Station",2010-11-17,26037
"Flagstaff Station",2010-11-18,25353
"Flagstaff Station",2010-11-19,24605
"Flagstaff Station",2010-11-20,1396
"Flagstaff Station",2010-11-21,1018
"Flagstaff Station",2010-11-22,25525
"Flagstaff Station",2010-11-23,26278
