"date","maxTemp","minTemp"
2010-07-15,13.7,6.9
2010-07-16,14.5,8.6
2010-07-17,13.6,5.8
2010-07-18,13.6,7.1
2010-07-19,14,7.4
2010-07-20,13.5,3.2
2010-07-21,14.4,5.7
2010-07-22,12.9,6.9
2010-07-23,12.6,9.5
2010-07-24,13.4,8.9
2010-07-25,15.8,6
2010-07-26,16.2,5.5
2010-07-27,15.1,3.9
2010-07-28,14.9,5.9
2010-07-29,14.9,7.5
2010-07-30,17.7,12
2010-07-31,17.9,12
2010-08-01,13.9,8.1
2010-08-02,16.5,8.1
2010-08-03,13.3,9.6
2010-08-04,13.8,9.5
2010-08-05,14.1,6.5
2010-08-06,14.5,7.3
2010-08-07,15.2,4.9
2010-08-08,14.6,5.7
2010-08-09,16.9,6.7
2010-08-10,11.4,6.4
2010-08-11,11.4,7.3
2010-08-12,15,8.2
2010-08-13,13.6,9.6
2010-08-14,15.9,10.2
2010-08-15,15.7,10.8
2010-08-16,12.8,8.5
2010-08-17,14.8,4.8
2010-08-18,13.5,8
2010-08-19,16.6,10.2
2010-08-20,13.4,6.4
2010-08-21,16.4,7.4
2010-08-22,16.2,7.1
2010-08-23,17.1,6.1
2010-08-24,14.6,9.1
2010-08-25,11.8,4.2
2010-08-26,14.9,7
2010-08-27,13.8,7.2
2010-08-28,16.1,7.9
2010-08-29,15,8.9
2010-08-30,18.6,5.8
2010-08-31,14.1,8.9
2010-09-01,13.3,11.1
2010-09-02,15.4,9.3
2010-09-03,16.6,7.3
2010-09-04,19,8.8
2010-09-05,17.1,10.9
2010-09-06,15.4,8.4
2010-09-07,15.8,7.4
2010-09-08,17.2,5.2
2010-09-09,18.3,9.1
2010-09-10,14.4,9.4
2010-09-11,18.5,8.5
2010-09-12,16.5,10.5
2010-09-13,15.5,10.9
2010-09-14,15.6,6.4
2010-09-15,16.5,9.4
2010-09-16,14.9,8.4
2010-09-17,14.9,8.7
2010-09-18,17,10.1
2010-09-19,16.7,9.3
2010-09-20,16.8,10.1
2010-09-21,15.4,10.9
2010-09-22,16.6,9.8
2010-09-23,16.2,10.9
2010-09-24,17,9.8
2010-09-25,19.9,10.9
2010-09-26,22.1,9.9
2010-09-27,17.3,12.8
2010-09-28,15.2,8
2010-09-29,15.3,5.8
2010-09-30,15.6,5.8
2010-10-01,18.4,7.5
2010-10-02,21,6.2
2010-10-03,25,11.1
2010-10-04,23.5,15.5
2010-10-05,20.6,13.2
2010-10-06,23.9,11.2
2010-10-07,17.5,7.7
2010-10-08,17.4,10.2
2010-10-09,19.1,9.3
2010-10-10,25.2,10.4
2010-10-11,25.2,11.7
2010-10-12,23.4,18.3
2010-10-13,14.8,14.3
2010-10-14,21.2,11.2
2010-10-15,12.7,12.1
2010-10-16,14.6,4.7
2010-10-17,17.7,6.9
2010-10-18,18.9,10
2010-10-19,17.4,9.6
2010-10-20,19.6,7.1
2010-10-21,25.7,8.4
2010-10-22,28.9,12.2
2010-10-23,17.3,12.8
2010-10-24,17.4,11.1
2010-10-25,20.5,7.9
2010-10-26,22.5,10.7
2010-10-27,19,12.7
2010-10-28,23.9,10.2
2010-10-29,28.4,13.9
2010-10-30,22.3,18.8
2010-10-31,17.2,11.7
2010-11-01,16.7,9.2
2010-11-02,19,10.5
2010-11-03,16.6,10.3
2010-11-04,18.2,9.1
2010-11-05,22.7,8.8
2010-11-06,24.6,10.3
2010-11-07,24.4,14.8
2010-11-08,23.8,14
2010-11-09,29.1,13.5
2010-11-10,25.6,18.2
2010-11-11,30.7,14
2010-11-12,31,16.3
2010-11-13,15.8,15
2010-11-14,19.8,13.1
2010-11-15,19.4,11.7
2010-11-16,18.6,10.1
2010-11-17,23.4,8.9
2010-11-18,17.6,13.7
2010-11-19,20.3,9.6
2010-11-20,22.8,9.9
2010-11-21,22,11.9
2010-11-22,33.3,13.7
2010-11-23,32.3,20.6
2010-11-24,31.5,21.7
2010-11-25,23.5,19.6
2010-11-26,25.1,16
2010-11-27,23.8,17.3
2010-11-28,16.6,13
2010-11-29,22.2,13.6
2010-11-30,25.4,13.2
2010-12-01,26.6,16.5
2010-12-02,27.2,17.2
2010-12-03,30,17.2
2010-12-04,30.8,19.4
2010-12-05,29.7,18.3
2010-12-06,30.9,18.2
2010-12-07,28.2,21.5
2010-12-08,25.5,22.6
2010-12-09,25,16.4
2010-12-10,21.1,14
2010-12-11,23.1,13.5
2010-12-12,19.4,13.2
2010-12-13,23.1,11.8
2010-12-14,28,14.4
2010-12-15,25.9,18.1
2010-12-16,22,12.7
2010-12-17,23.8,12.1
2010-12-18,19,12.2
2010-12-19,19.1,11.3
2010-12-20,19.3,9.9
2010-12-21,18.3,11.1
2010-12-22,25.7,10.6
2010-12-23,20.6,14.1
2010-12-24,23.5,11.5
2010-12-25,26.2,14
2010-12-26,20.4,15.8
2010-12-27,18,10.5
2010-12-28,22.8,9
2010-12-29,30.3,13.7
2010-12-30,23.7,14.2
2010-12-31,41.1,14.9
2011-01-01,23.1,17.1
2011-01-02,21.6,15.3
2011-01-03,20.9,14.5
2011-01-04,22,12.7
2011-01-05,21.9,14.6
2011-01-06,30.8,15.9
2011-01-07,33.4,17.9
2011-01-08,34.5,23
2011-01-09,22.7,18.1
2011-01-10,25,18.7
2011-01-11,26.3,20.1
2011-01-12,27.6,20.9
2011-01-13,27.8,22.5
2011-01-14,26.9,20.5
2011-01-15,29.5,18.5
2011-01-16,26.2,18.3
2011-01-17,21.3,15.6
2011-01-18,21.9,15.5
2011-01-19,22.5,15.3
2011-01-20,28.4,13.3
2011-01-21,32.3,16.6
2011-01-22,27.5,16.9
2011-01-23,29,18.3
2011-01-24,21.7,15.1
2011-01-25,27.7,14.5
2011-01-26,21.6,16
2011-01-27,25.7,14.9
2011-01-28,23.1,16.4
2011-01-29,28,13.4
2011-01-30,38.1,16.4
2011-01-31,32.5,20.1
2011-02-01,40.2,24.5
2011-02-02,27.8,17.5
2011-02-03,25.6,18.6
2011-02-04,30.4,18.2
2011-02-05,20.3,18.1
2011-02-06,20.4,12.4
2011-02-07,21.5,10.8
2011-02-08,22.1,14.6
2011-02-09,27.9,12.9
2011-02-10,29.5,14.7
2011-02-11,25.8,20.9
2011-02-12,21.1,15.4
2011-02-13,22.1,13.4
2011-02-14,24.6,14.2
2011-02-15,30.3,16.6
2011-02-16,29.5,18.8
2011-02-17,27.9,19.5
2011-02-18,29.4,19.3
2011-02-19,28.7,19.8
2011-02-20,22,16.6
2011-02-21,19.6,11.8
2011-02-22,21.3,13.9
2011-02-23,23.8,15.5
2011-02-24,25,13.7
2011-02-25,23.8,15.8
2011-02-26,29.8,15.6
2011-02-27,19.1,18
2011-02-28,18,16
2011-03-01,19.5,14.3
2011-03-02,19.8,11.1
2011-03-03,20.1,13.6
2011-03-04,18.6,13.6
2011-03-05,24.5,10.8
2011-03-06,28,11.3
2011-03-07,29.2,15.6
2011-03-08,27.2,19.4
2011-03-09,23.8,19.4
2011-03-10,18.7,15.2
2011-03-11,27.1,15.4
2011-03-12,30.7,17.7
2011-03-13,32.5,20.8
2011-03-14,23.7,15
2011-03-15,25.6,12.3
2011-03-16,22,15.4
2011-03-17,18.9,14.4
2011-03-18,19.5,14.2
2011-03-19,23.5,12.8
2011-03-20,30.1,13.6
2011-03-21,24.9,16.8
2011-03-22,24,19.1
2011-03-23,23.1,16.4
2011-03-24,19.7,15.2
2011-03-25,19,13.6
2011-03-26,18,15
2011-03-27,20.3,14.6
2011-03-28,24.3,13.7
