"","Sensor_Name","Date","sum.Hourly_Counts.","Bus","Tram","PedBusRatio","PedTramRatio"
"236","Flagstaff Station",2010-01-22,21427,267139,5e+05,0.0802091794908269,0.042854
"237","Flagstaff Station",2010-01-23,1035,267139,5e+05,0.00387438749115629,0.00207
"238","Flagstaff Station",2010-01-24,816,267139,5e+05,0.00305458955824496,0.001632
"239","Flagstaff Station",2010-01-25,17159,267139,5e+05,0.0642324782229476,0.034318
"240","Flagstaff Station",2010-01-26,893,267139,5e+05,0.00334282901410876,0.001786
"241","Flagstaff Station",2010-01-27,22220,267139,5e+05,0.0831776715492684,0.04444
"242","Flagstaff Station",2010-01-28,23743,267139,5e+05,0.0888788233840809,0.047486
"243","Flagstaff Station",2010-01-29,22595,267139,5e+05,0.0845814351330206,0.04519
"244","Flagstaff Station",2010-01-30,924,267139,5e+05,0.00345887347036561,0.001848
"245","Flagstaff Station",2010-01-31,643,267139,5e+05,0.00240698662494057,0.001286
"246","Flagstaff Station",2010-02-01,24984,267139,5e+05,0.0935243450039118,0.049968
"247","Flagstaff Station",2010-02-02,25490,267139,5e+05,0.0954184899995882,0.05098
"248","Flagstaff Station",2010-02-03,24982,267139,5e+05,0.0935168582647985,0.049964
"249","Flagstaff Station",2010-02-04,24841,267139,5e+05,0.0929890431573076,0.049682
"250","Flagstaff Station",2010-02-05,26084,267139,5e+05,0.0976420515162518,0.052168
"251","Flagstaff Station",2010-02-06,1060,267139,5e+05,0.00396797173007311,0.00212
"252","Flagstaff Station",2010-02-07,848,267139,5e+05,0.00317437738405849,0.001696
"253","Flagstaff Station",2010-02-08,25062,267139,5e+05,0.0938163278293323,0.050124
"254","Flagstaff Station",2010-02-09,24943,267139,5e+05,0.0933708668520882,0.049886
"255","Flagstaff Station",2010-02-10,25337,267139,5e+05,0.0948457544574173,0.050674
"256","Flagstaff Station",2010-02-11,27039,267139,5e+05,0.101216969442874,0.054078
"257","Flagstaff Station",2010-02-12,23695,267139,5e+05,0.0886991416453606,0.04739
"258","Flagstaff Station",2010-02-13,1301,267139,5e+05,0.00487012379323124,0.002602
"259","Flagstaff Station",2010-02-14,1189,267139,5e+05,0.00445086640288389,0.002378
"260","Flagstaff Station",2010-02-15,25266,267139,5e+05,0.0945799752188935,0.050532
"261","Flagstaff Station",2010-02-16,26281,267139,5e+05,0.0983794953189164,0.052562
"262","Flagstaff Station",2010-02-17,25741,267139,5e+05,0.0963580757583131,0.051482
"263","Flagstaff Station",2010-02-18,26234,267139,5e+05,0.0982035569497527,0.052468
"264","Flagstaff Station",2010-02-19,23808,267139,5e+05,0.0891221424052647,0.047616
"265","Flagstaff Station",2010-02-20,1126,267139,5e+05,0.00421503412081351,0.002252
"266","Flagstaff Station",2010-02-21,828,267139,5e+05,0.00309950999292503,0.001656
"267","Flagstaff Station",2010-02-22,25630,267139,5e+05,0.0959425617375224,0.05126
"268","Flagstaff Station",2010-02-23,26795,267139,5e+05,0.100303587271046,0.05359
"269","Flagstaff Station",2010-02-24,26117,267139,5e+05,0.097765582711622,0.052234
"270","Flagstaff Station",2010-02-25,26195,267139,5e+05,0.0980575655370425,0.05239
"271","Flagstaff Station",2010-02-26,24202,267139,5e+05,0.0905970300105937,0.048404
"272","Flagstaff Station",2010-02-27,1166,267139,5e+05,0.00436476890308042,0.002332
"273","Flagstaff Station",2010-02-28,797,267139,5e+05,0.00298346553666818,0.001594
